Series,Count,Mean,Median,Std Dev,Min,5th Pct,25th Pct,75th Pct,95th Pct,Max,Skewness,Kurtosis
0.5yr,546,5.8287,5.3744,4.1494,-0.1554,0.2026,3.1533,9.5098,13.0882,15.3634,0.2715,-0.8999
1.0yr,672,5.975,5.603,4.1415,-0.1504,0.1987,3.2073,9.6246,12.7912,14.9556,0.137,-1.0532
5.0yr,674,6.4754,6.046,4.056,-0.1277,0.527,3.376,10.2052,12.6311,15.541,0.0965,-1.1542
10.0yr,674,6.8531,5.9617,4.0077,0.1252,1.0327,3.9271,10.2355,13.3324,15.9307,0.1918,-1.1218
30.0yr,122,2.6673,1.9262,1.5934,0.5701,0.8406,1.4273,4.4041,5.4083,5.7884,0.6071,-1.1606
Steepness,546,0.4736,0.4274,1.1401,-3.4434,-1.3394,-0.2593,1.1799,2.3309,4.6218,0.1383,0.9101
